file	organ	width	height	area
test2.png	bayas	1.75	2.03	2.62
test2.png	bayas	1.78	2.32	3.05
test2.png	bayas	1.85	2.28	3.2
test2.png	bayas	1.7	2.23	2.81
test2.png	bayas	1.79	2.24	2.99
test2.png	bayas	1.77	2.08	2.81
test2.png	bayas	2.0	2.21	3.33
test2.png	bayas	1.82	2.18	3.01
test2.png	bayas	1.75	2.38	3.1
test2.png	bayas	1.86	2.41	3.44
test3.png	bayas	1.63	1.93	2.37
test3.png	bayas	1.94	2.07	3.02
test3.png	bayas	1.54	1.68	1.91
test3.png	bayas	1.5	1.74	1.92
test3.png	bayas	1.79	2.07	2.82
test3.png	bayas	1.67	1.97	2.49
test3.png	bayas	1.82	1.9	2.63
test3.png	bayas	1.83	1.97	2.72
test3.png	bayas	1.72	1.85	2.34
test3.png	bayas	1.72	1.9	2.4
